fold,train_size,test_size,accuracy,f1_macro,f1_weighted,f1_bear,f1_sideways,f1_bull,support_bear,support_sideways,support_bull,transition_acc
2016,1401,244,0.9672131147540983,0.9656403748970369,0.9672131147540983,0.9565217391304348,0.9619047619047619,0.978494623655914,46,105,93,0.0
2017,1645,248,0.9919354838709677,0.9859330686330119,0.9920095877627944,,0.9767441860465116,0.9951219512195122,0,42,206,0.0
2018,1893,245,0.9591836734693877,0.9227772075873343,0.9597089468698872,0.8333333333333334,0.9620253164556962,0.972972972972973,17,80,148,0.0
2019,2138,241,0.9585062240663901,0.9435257299334969,0.9586012558658895,0.9047619047619048,0.9514563106796117,0.9743589743589743,21,102,118,0.0
2020,2379,250,0.98,0.9798588717682177,0.9799983575705732,0.9828571428571429,0.9746835443037974,0.9820359281437125,87,79,84,0.3333333333333333
2021,2629,248,0.9838709677419355,0.6625850340136055,0.9838709677419355,,0.3333333333333333,0.9918367346938776,0,3,245,0.0
2022,2877,248,0.967741935483871,0.9659841855801657,0.967741935483871,0.9791666666666666,0.9622641509433962,0.9565217391304348,96,106,46,0.0
2023,3125,245,0.9836734693877551,0.9801683665209648,0.9836734693877551,,0.971830985915493,0.9885057471264368,0,71,174,0.0
2024,3370,246,0.991869918699187,0.7479508196721312,0.9898540583766494,,0.5,0.9959016393442623,0,3,243,0.0
