fold,train_size,test_size,accuracy,f1_macro,f1_weighted,f1_bear,f1_sideways,f1_bull,support_bear,support_sideways,support_bull,transition_acc
2016,1401,244,0.38114754098360654,0.18397626112759644,0.2103662985844238,0.0,0.0,0.5519287833827893,46,105,93,0.25
2017,1645,248,0.8306451612903226,0.45374449339207046,0.7538013357965041,,0.0,0.9074889867841409,0,42,206,1.0
2018,1893,245,0.6040816326530613,0.25106022052586935,0.4549826037285143,0.0,0.0,0.7531806615776081,17,80,148,0.25
2019,2138,241,0.4896265560165975,0.21912720519962858,0.32187149643430923,0.0,0.0,0.6573816155988857,21,102,118,0.4
2020,2379,250,0.336,0.16766467065868262,0.1690059880239521,0.0,0.0,0.5029940119760479,87,79,84,0.3333333333333333
2021,2629,248,0.9879032258064516,0.4969574036511156,0.981891644310672,,0.0,0.9939148073022313,0,3,245,0.5
2022,2877,248,0.18548387096774194,0.10430839002267574,0.05804257186745666,0.0,0.0,0.3129251700680272,96,106,46,0.25
2023,3125,245,0.710204081632653,0.4152744630071599,0.5898592372509863,,0.0,0.8305489260143198,0,71,174,0.5
2024,3370,246,0.9878048780487805,0.49693251533742333,0.9817447254227144,,0.0,0.9938650306748467,0,3,243,0.0
