fold,train_size,test_size,accuracy,f1_macro,f1_weighted,f1_bear,f1_sideways,f1_bull,transition_acc
2015,1662,244,0.9262295081967213,0.9190638574270288,0.9260890528699005,0.9347826086956522,0.9047619047619048,0.9176470588235294,0.0
2016,1906,244,0.8975409836065574,0.8383352474845364,0.897248666773183,0.9008264462809917,0.7058823529411765,0.9082969432314411,0.1
2017,2150,248,0.9959677419354839,0.498989898989899,0.9939556858911698,0.0,0.0,0.997979797979798,0.5
2018,2398,245,0.9428571428571428,0.6278923660502608,0.9408608877405871,0.9297297297297298,0.0,0.9539473684210527,0.125
2019,2643,241,0.941908713692946,0.9070197940860402,0.9423665591839735,0.8923076923076924,0.8571428571428571,0.9716088328075709,0.5714285714285714
2020,2884,250,0.944,0.9286281710058958,0.9450589254837325,0.9556313993174061,0.9618320610687023,0.868421052631579,0.16666666666666666
2021,3134,248,0.9596774193548387,0.9291987673343606,0.9592558651026393,0.9545454545454546,0.85,0.9830508474576272,0.0
2022,3382,248,0.9596774193548387,0.943732827294471,0.9597122111207396,0.9675324675324676,0.9047619047619048,0.958904109589041,0.2
2023,3630,245,0.9918367346938776,0.33196721311475413,0.9918367346938776,0.0,0.0,0.9959016393442623,0.5
2024,3875,244,0.8934426229508197,0.8638689200300996,0.8928447790212989,0.835820895522388,0.8292682926829268,0.9265175718849841,0.2
