,0
ret_1d,0.0005346294465138474
ret_2d,0.00036044723092747225
ret_3d,0.0005378716062449406
ret_5d,0.0008177849810529104
ret_10d,0.001145586799246711
ret_21d,0.001556727333050566
ret_63d,0.0010380368213408018
ret_mean_5d,0.0008922618655864043
ret_mean_10d,0.0008604787744396339
ret_mean_21d,0.0015489418302173353
ret_mean_63d,0.001299912781697843
roc_5d,0.0006473612663231654
roc_21d,0.0011856348910246545
up_frac_5d,0.0002166402100660326
up_frac_21d,0.00045789097873958164
price_sma20_ratio,0.001507441483706736
price_sma50_ratio,0.0007411216555209672
price_sma100_ratio,0.003852933353403125
price_sma200_ratio,0.0010645042769452098
sma50_200_ratio,0.0012956664583003248
golden_cross,0.0009878146722823984
macd_line,0.0015079657362849206
macd_signal,0.0013113543270583466
macd_hist,0.0013480767605791413
macd_crossover,0.0
adx,0.000943806951863107
adx_pos,0.000498259085305695
adx_neg,0.0011163832646207906
adx_trend_strength,0.00015740651618037887
realized_vol_5d,0.010204739024253546
realized_vol_10d,0.022062795860928762
realized_vol_21d,0.06321458920672984
realized_vol_63d,0.009403242451672327
vol_ratio_5_21,0.0005719086773845665
parkinson_vol,0.04257367623771681
atr,0.0015459980184294817
atr_pct,0.04104524548597948
bb_width,0.010710692686207697
bb_pct_b,0.0005661271897871429
bb_squeeze,0.00032500696242055473
rsi_7,0.0006944135366482196
rsi_14,0.0005558786724443524
rsi_28,0.0010027582585453742
zscore_21d,0.000568851481420043
zscore_63d,0.0007608964245372403
drawdown_252d,0.009767217715562729
drawdown_63d,0.004380480307942702
ret_zscore_21d,0.00033834552374845415
stoch_k,0.0006046959296533014
stoch_d,0.0007562195956016992
volume_ratio_21d,0.0005162947959216513
volume_zscore_21d,0.0019148225971835093
obv_trend,5.0091990606916176e-05
up_down_vol_ratio,0.001033523822293242
pv_divergence,3.4631421132977484e-05
vix_level,0.02059126676725333
vix_log,0.016338011669434774
vix_chg_1d,0.0006438868020471708
vix_chg_5d,0.0010408229223492764
vix_chg_21d,0.001456585918113963
vix_zscore_252d,0.0007825975055158587
vix_regime_low,0.007518562535179713
vix_regime_high,0.009150138279182617
vix_above_ma21,0.0002997187679252782
regime_lag1,0.14752200169969285
regime_lag2,0.08192427971823574
regime_lag3,0.039034050915880296
regime_lag5,0.03270175465507583
regime_duration,0.01176439117426102
was_bull_lag1,0.1028592927925763
was_sideways_lag1,0.036340009772894734
was_bear_lag1,0.09867129430011987
was_bull_lag2,0.0556976514847526
was_sideways_lag2,0.02569321409379074
was_bear_lag2,0.05533438299244244
