Date,log_return,realized_vol,daily_range,Close,regime_raw,regime_name,regime_code,vix,ret_lag1,ret_lag2,ret_lag3,ret_lag5,ret_5d_mean,ret_21d_mean,target_regime_code,target_regime_name
2008-03-03,-0.05317422168932492,0.41247197682280534,0.05789420553200081,4953.0,2,Sideways,1,35.7599983215332,-0.011723883801295562,0.0031648664901924527,-0.0003131205069242277,0.01744710498421904,0.004364302162489094,0.000790989993482312,1.0,Sideways
2008-03-04,-0.01808091223675228,0.3998738799420844,0.03366397697486766,4864.25,2,Sideways,1,38.08000183105469,-0.05317422168932492,-0.011723883801295562,0.0031648664901924527,0.013246543646253755,-0.009759963172219699,-0.0033791808955436573,1.0,Sideways
2008-03-05,0.011680481659729272,0.4031303086433036,0.018185882426944584,4921.39990234375,2,Sideways,1,35.5099983215332,-0.01808091223675228,-0.05317422168932492,-0.011723883801295562,-0.0003131205069242277,-0.016025454348820904,-0.005532241364729272,1.0,Sideways
2008-03-07,-0.03091132413728073,0.4039546521744957,0.051565470628680006,4771.60009765625,2,Sideways,1,35.20000076293945,0.011680481659729272,-0.01808091223675228,-0.05317422168932492,0.0031648664901924527,-0.013626733915490205,-0.005153499325326709,1.0,Sideways
2008-03-10,0.006017528539995237,0.3893317714774959,0.04050708259067365,4800.39990234375,2,Sideways,1,32.58000183105469,-0.03091132413728073,0.011680481659729272,-0.01808091223675228,-0.011723883801295562,-0.02044197204098484,-0.005203370296953202,1.0,Sideways
2008-03-11,0.01355244588847619,0.39363872541215056,0.03198789647702748,4865.89990234375,2,Sideways,1,32.689998626708984,0.006017528539995237,-0.03091132413728073,0.011680481659729272,-0.05317422168932492,-0.016893689572726682,-0.003192369496270422,1.0,Sideways
2008-03-12,0.0012528570873274933,0.34841800344102974,0.033754145179084566,4872.0,2,Sideways,1,32.36000061035156,0.01355244588847619,0.006017528539995237,-0.03091132413728073,-0.01808091223675228,-0.003548356057166459,-0.0024271972305683277,1.0,Sideways
2008-03-13,-0.052330886848362665,0.3930421166986969,0.06242968601243641,4623.60009765625,2,Sideways,1,34.150001525878906,0.0012528570873274933,0.01355244588847619,0.006017528539995237,0.011680481659729272,0.00031839780764949524,0.0001468365259041921,1.0,Sideways
2008-03-14,0.02608633166147549,0.39878941273900415,0.03190197582195935,4745.7998046875,2,Sideways,1,31.110000610351562,-0.052330886848362665,0.0012528570873274933,0.01355244588847619,-0.03091132413728073,-0.012483875893968892,-0.002160925787575739,1.0,Sideways
2008-03-17,-0.05249390504412863,0.3816252473866209,0.058481955085412624,4503.10009765625,2,Sideways,1,33.43000030517578,0.02608633166147549,-0.052330886848362665,0.0012528570873274933,0.006017528539995237,-0.0010843447342176488,-0.0018079754459921836,1.0,Sideways
2008-03-18,0.006617901782132095,0.37318130239525993,0.032958391931392016,4533.0,2,Sideways,1,37.84000015258789,-0.05249390504412863,0.02608633166147549,-0.052330886848362665,0.01355244588847619,-0.012786631451042422,-0.0068703379452323635,1.0,Sideways
2008-03-19,0.008993234932070661,0.37746661748203386,0.04033712483119739,4573.9501953125,2,Sideways,1,35.4900016784668,0.006617901782132095,-0.05249390504412863,0.02608633166147549,0.0012528570873274933,-0.014173540272311241,-0.0074699928739160185,1.0,Sideways
2008-03-24,0.007818132811706334,0.3800378178932229,0.023786107639540966,4609.85009765625,2,Sideways,1,35.209999084472656,0.008993234932070661,0.006617901782132095,-0.05249390504412863,-0.052330886848362665,-0.012625464703362607,-0.006807694223130828,1.0,Sideways
2008-03-25,0.05643745381264009,0.4317648887659369,0.05740645822655049,4877.5,2,Sideways,1,33.29999923706055,0.007818132811706334,0.008993234932070661,0.006617901782132095,0.02608633166147549,-0.0005956607713488073,-0.006470582128787337,1.0,Sideways
2008-03-26,-0.010024429214414106,0.43093968172856917,0.02146471732350067,4828.85009765625,2,Sideways,1,37.18000030517578,0.05643745381264009,0.007818132811706334,0.008993234932070661,-0.05249390504412863,0.005474563658884113,-0.0026298887439158577,1.0,Sideways
2008-03-27,0.00028986185864062055,0.42875426959583457,0.019491724516070598,4830.25,2,Sideways,1,37.279998779296875,-0.010024429214414106,0.05643745381264009,0.007818132811706334,0.006617901782132095,0.013968458824827019,-0.003451050282784578,1.0,Sideways
2008-03-28,0.022871881407062488,0.4323608659954317,0.0352994146157932,4942.0,2,Sideways,1,33.06999969482422,0.00028986185864062055,-0.010024429214414106,0.05643745381264009,0.008993234932070661,0.012702850840128723,-0.0026879970630297326,1.0,Sideways
2008-03-31,-0.04289398312500061,0.45008802553675614,0.05135703925308903,4734.5,2,Sideways,1,35.13999938964844,0.022871881407062488,0.00028986185864062055,-0.010024429214414106,0.007818132811706334,0.015478580135127087,-0.002429674376227664,1.0,Sideways
2008-04-01,0.0010660288408502233,0.4502982641291224,0.036290366614544045,4739.5498046875,2,Sideways,1,35.099998474121094,-0.04289398312500061,0.022871881407062488,0.00028986185864062055,0.05643745381264009,0.0053361569477857005,-0.005103032793906444,1.0,Sideways
2008-04-02,0.0030863256888461164,0.4502803200514285,0.03688319600616313,4754.2001953125,2,Sideways,1,33.619998931884766,0.0010660288408502233,-0.04289398312500061,0.022871881407062488,-0.010024429214414106,-0.005738128046572274,-0.005037359015440994,1.0,Sideways
2008-04-03,0.0036532199206828287,0.4505554696392744,0.019919901656089593,4771.60009765625,2,Sideways,1,36.68000030517578,0.0030863256888461164,0.0010660288408502233,-0.04289398312500061,0.00028986185864062055,-0.003115977065920229,-0.005041099053600343,1.0,Sideways
2008-04-04,-0.02645984878895571,0.4226912020904863,0.0342156229825694,4647.0,2,Sideways,1,36.93000030517578,0.0036532199206828287,0.0030863256888461164,0.0010660288408502233,0.022871881407062488,-0.0024433054535117874,-0.004308856019220419,1.0,Sideways
2008-04-07,0.02427792823044179,0.42911574069186165,0.03565277514840111,4761.2001953125,2,Sideways,1,30.989999771118164,-0.02645984878895571,0.0036532199206828287,0.0030863256888461164,-0.04289398312500061,-0.012309651492715425,-0.0030367430239647427,1.0,Sideways
